Content,Expertise
"Anne-Sophie LECLERC Associate Structure Division Anne-Sophie Leclerc is involved in restructuring under-performing companies by using pre-insolvency proceedings (mandat ad hoc, conciliation) or judicial insolvency proceedings (sauvegarde, redressement, liquidation) and also handles all types of business litigation.   Education Member of the Paris Bar since 2012 2010 DJCE – Master’s degree in business law – University of Rennes 2010 Certified specialization in tax law – University of Montpellier 2009 Master’s degree in business law – University of Rennes   Languages French, English  ","['business', 'litigation']"
"Laura PLOY Associate Operations Division Laura Ploy’s principal area of expertise is that of public law. As such, she handles issues relating to public contracts (public procurement contracts, concessions, public-private partnerships contracts), public domain occupancy, urban planning, and regulated sectors (energy, transport) as both counsel and litigator.   Education Member of the Paris Bar since 2014 2011   Master’s degrees in Public Law, Lyon-III University 2011   Legal degree in Business Law , Lyon-III University 2010   Master’s degree in Public Law, Lyon-III University   Languages French – English  ",['public law']
"Brice MATHIEU Senior Counsel Structure Division Brice focuses on corporate, restructuring, mergers and acquisitions including distressed transactions, as well as in cross-border projects. Brice’s practice focuses on advising French or foreign corporate clients, private equity funds and financial institutions, in connection with their corporate, investments, M&A and restructuring transactions, stock or asset acquisitions and divestures, spin-offs, complex joint ventures, frequently with a cross-border dimension. Brice also has extensive expertise in private equity matters and has gained experience in cross-border projects in French-speaking African countries.   Education Member of the Paris Bar 2005 Paris Bar School, 2004 Rennes Law School,  Postgraduate Degree, with honors, international business law (DESS Juriste d’Affaires Internationales) 2003 Nancy Law School  M.A., business law (Maîtrise en droit des affaires)   Languages English – French – Spanish  ",['private equity']
"Laurence VANDERSTRAETE Senior Associate Structure Division Laurence Vanderstraete is a specialist of African matters. She has developed an expertise in OHADA (Organisation for the Harmonisation of Business Law in Africa) business law and particularly intervenes on natural resources and mining projects.   Education 2007 LL.M in European and Comparative Law, Ghent University 2006 Degree in Private Law, Free University of Brussels (Université Libre de Bruxelles)     Languages French – English  – Dutch   Publications Sovereign Sukuk in Djibouti: An achievable challenge , Islamic Finance News, March, 1st 2017 “Droit Ohada : le renforcement du droit de vote d’un minoritaire“, co-author. Capital Finance. September 28, 2015. “L’accroissement du pouvoir décisionnel de l’actionnaire minoritaire d’une société anonyme de droit OHADA par le renforcement des conditions de majorité des assemblées generales dans un pacte extrastatutaire (et autres alternatives)”. co-author. OHADA D-15-08. www.ohada.com.  ","['natural resources', 'business law', 'business']"
"Alix MOREAU Paralegal Operations Division Alix Moreau is involved in the protection of intellectual property rights (mainly trademarks, designs, domain names). In particular, she is in charge of the management of trademarks portfolios, their protection and their defence as well as related procedures in France and abroad.   Languages : French – English  ",['intellectual property']
"Amélie NISIO Associate Structure Division Amélie Niso  specialises in labor law matters and to its extension in business activities (employment, contracts, reclassification,  labor collective procedures, collective dispute).   Formation Member of Paris bar since 2016. 2015 Master degree 2 Business lawyer (Paris-Est Créteil – UPEC University) 2014 Master degree 1 business law, banking law and white collar crime (Paris Descartes University) 2013 Degree in public and private Law (Paris Descartes University)   Languages French – English  ",['labor']
"Claire STEIN Associate Structure Division Claire Stein specializes in banking and finance. She assists our clients with their French and Ohada law issues in energy and infrastructure.   Education 2015 CAPA 2013 Master degree in International Law and Management (Certificate Energy & Finance), HEC Paris 2010 Magisterium in business law and double degree in Foreign Languages  (English-Japanese), University Lyon 3 Jean Moulin   Languages French – English – Japanese  ",['banking and finance']
"Ariane FEVRIER Associate Operations Division Ariane Février est mainly involved in Public Law and Competition matters. She assists entities and companies, public as well as private,  in cases regarding public contracts (tenders, delegations, partnerships etc.) and competition (State aids, antitrust, competition between companies owning exclusive rights, special rights or services of general economic interest). Ariane Février also handles administrative litigation cases, and advises public entities in their day to day management and projects.   Education 2014 Master degree in Public Business Law, Panthéon-Sorbonne University 2013 Master degree in European Union Economic Law, Panthéon-Sorbonne University 2012 Degree in European Law, University Panthéon-Sorbonne University   Languages French – English – Spanish  ",['public law']
"Laura GODFRIN Associate Operation Division Laura is involved in matters relating to intellectual property (trademarks, patents, designs and copyright), new technology (e-commerce and data protection) and media law.   Education 2013 Master Degree in literary, artistic and industrial property, Paris II University, 2013 2012 Postgraduate degree in general private law, Nantes University   Languages French – English  ","['media law', 'media', 'intellectual property']"
"Hamza HACHAM Paralegal Structure Division Hamza Hacham specialises in litigation and pre-litigation particularly in regards to corporate litigation (shareholder disputes, manager responsibility, etc.) and commercial litigation (contracts, commercial breaches, etc.).   Formation Master degree in Business law and financial engineering (Jean Moulin Lyon 3 University, 2013) Maîtrise in Business law and financial engineering (2012).   Languages French, English and Arabic  ",['litigation and pre-litigation']
